country,brecha,pobtug,povheadc,pobtug_ORD,IDH_2019
Alemania,0,0.00999999977648258,0.2,1,0.947
Argentina,0.4,14.6999998092651,3.6,2,0.845
Armenia,0.2,9.30000019073486,11.4,1,0.776
Bolivia,2.5,48.5,12.1,4,0.718
Brasil,0.9,16.2999992370605,7.3,2,0.765
Burkina Faso,11.2,57.0999984741211,76.7,4,0.452
Camerún,8.4,33.7000007629395,47,3,0.563
Canadá,0.1,0.00999999977648258,0.5,1,0.929
China,0.3,24.6000003814697,9.5,2,0.761
Colombia,2,27.7999992370605,13.2,3,0.767
Comoras,6.8,68.4000015258789,39.7,4,0.554
Costa Rica,0.6,3.90000009536743,4,1,0.810
Dinamarca,0.1,0.00100000004749745,0.2,1,0.940
Ecuador,0.8,20.1000003814697,8.6,2,0.759
El Salvador,0.7,22.3999996185303,12.4,2,0.673
Eslovenia,0,3.70000004768372,0,1,0.917
España,0.5,5.5,1.5,1,0.904
Georgia,1.2,34.0999984741211,17.8,3,0.812
Grecia,0.8,3,3,1,0.888
Guatemala,2.6,31,24.4,3,0.663
Honduras,5,38.5999984741211,31.8,4,0.634
Hungría,0.4,13.6000003814697,1,2,0.854
Indonesia,0.9,30.6000003814697,34.8,3,0.718
Kirguistán,0.2,9.69999980926514,14.9,1,0.697
Liberia,13.1,70.3000030517578,76.4,4,0.480
Macedonia del Norte,2,8.30000019073486,10.5,1,0.774
Mauritania,1.4,73.1999969482422,24.1,4,0.546
México,1.1,16,11.8,2,0.779
Mongolia,0,38.2999992370605,3,4,0.737
Montenegro,0.4,27.1000003814697,8.6,3,0.829
Mozambique,28.6,77.1999969482422,82.4,4,0.456
Nicaragua,0.8,42.2000007629395,13.1,4,0.660
Níger,13.7,58.7999992370605,77.2,4,0.394
Noruega,0.1,0.00100000004749745,0.1,1,0.957
Panamá,1.1,22.1000003814697,8.3,2,0.815
Paraguay,0.6,17.1000003814697,6.8,2,0.728
Perú,1,33.0999984741211,10.7,3,0.777
Polonia,0.1,0.00999999977648258,1,1,0.880
Portugal,0.2,3.59999990463257,1.4,1,0.864
República Dominicana,0.5,14.8000001907349,7.8,2,0.756
Serbia,4.3,3.59999990463257,12.2,1,0.806
Sudáfrica,6.1,25.6000003814697,37.3,3,0.709
Sudán,2.8,88.4000015258789,44,4,0.510
Suecia,0.3,0.00100000004749745,0.6,1,0.945
Tailandia,0,23.7000007629395,0.9,2,0.777
Turquía,0,8.60000038146973,2.1,1,0.820
Ucrania,0,19,0.1,2,0.779
